Dataset,Algorithm,Nodes,Edges,SCCs,ComponentSizes,Operations,TimeMs,ComponentOrder,OriginalTaskOrder,ShortestPath,ShortestPathLength,LongestPath,LongestPathLength
large_complex_1.json,SCC,25,27,19,1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;3;1;,52,0.111,,,,,,
large_complex_1.json,TopologicalSort,19,27,,,74,0.473,18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;0;,0;3;2;1;6;5;4;7;10;9;8;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,,,,
large_complex_1.json,ShortestPath,19,27,,,18,0.079,,,18;17;,2,,
large_complex_1.json,LongestPath,19,27,,,18,0.056,,,,,18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;0;,48
large_dense_dag_1.json,SCC,30,38,30,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,68,0.033,,,,,,
large_dense_dag_1.json,TopologicalSort,30,38,,,136,0.034,29;23;26;28;19;22;25;27;18;21;24;17;20;16;15;13;14;12;11;10;9;8;7;6;5;4;3;2;1;0;,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;,,,,
large_dense_dag_1.json,ShortestPath,30,38,,,38,0.033,,,29;23;,2,,
large_dense_dag_1.json,LongestPath,30,38,,,38,0.050,,,,,29;26;22;18;17;16;15;14;12;11;10;9;8;7;6;5;4;3;2;1;0;,57
large_multi_scc_2.json,SCC,40,66,32,1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1;3;1;3;1;1;,106,0.045,,,,,,
large_multi_scc_2.json,TopologicalSort,32,66,,,172,0.041,31;30;29;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;0;,0;1;4;3;2;5;8;7;6;9;12;11;10;13;14;15;16;17;18;19;20;21;22;25;24;23;26;27;28;29;30;31;32;33;34;35;36;37;38;39;,,,,
large_multi_scc_2.json,ShortestPath,32,66,,,54,0.045,,,31;30;,3,,
large_multi_scc_2.json,LongestPath,32,66,,,54,0.041,,,,,31;30;29;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;0;,81
medium_dense_1.json,SCC,12,17,12,1;1;1;1;1;1;1;1;1;1;1;1;,29,0.073,,,,,,
medium_dense_1.json,TopologicalSort,12,17,,,58,0.022,11;8;10;7;4;9;3;6;2;5;1;0;,0;1;2;4;3;5;6;7;8;9;10;11;,,,,
medium_dense_1.json,ShortestPath,12,17,,,17,0.030,,,11;10;,2,,
medium_dense_1.json,LongestPath,12,17,,,17,0.026,,,,,11;8;7;6;5;1;0;,19
medium_multi_scc_1.json,SCC,15,17,9,1;1;1;1;1;1;3;3;3;,32,0.025,,,,,,
medium_multi_scc_1.json,TopologicalSort,9,17,,,34,0.014,8;7;6;5;4;3;2;1;0;,2;1;0;5;4;3;8;7;6;9;10;11;12;13;14;,,,,
medium_multi_scc_1.json,ShortestPath,9,17,,,8,0.019,,,8;7;,4,,
medium_multi_scc_1.json,LongestPath,9,17,,,8,0.019,,,,,8;7;6;5;4;3;2;1;0;,25
medium_sparse_1.json,SCC,18,19,14,1;1;1;1;1;1;1;1;3;1;1;1;3;1;,37,0.022,,,,,,
medium_sparse_1.json,TopologicalSort,14,19,,,54,0.014,13;12;11;10;9;8;7;6;5;4;3;2;1;0;,0;3;2;1;4;5;6;9;8;7;10;11;12;13;14;15;16;17;,,,,
medium_sparse_1.json,ShortestPath,14,19,,,13,0.019,,,13;12;,5,,
medium_sparse_1.json,LongestPath,14,19,,,13,0.018,,,,,13;12;11;10;9;8;7;6;5;4;3;2;1;0;,41
small_cycle_1.json,SCC,6,6,4,1;1;1;3;,12,0.010,,,,,,
small_cycle_1.json,TopologicalSort,4,6,,,14,0.009,3;2;1;0;,2;1;0;3;4;5;,,,,
small_cycle_1.json,ShortestPath,4,6,,,3,0.010,,,3;2;,4,,
small_cycle_1.json,LongestPath,4,6,,,3,0.010,,,,,3;2;1;0;,7
small_dag_1.json,SCC,8,9,8,1;1;1;1;1;1;1;1;,17,0.012,,,,,,
small_dag_1.json,TopologicalSort,8,9,,,34,0.014,7;5;6;4;3;1;2;0;,0;1;2;3;4;5;6;7;,,,,
small_dag_1.json,ShortestPath,8,9,,,9,0.017,,,7;5;,3,,
small_dag_1.json,LongestPath,8,9,,,9,0.016,,,,,7;6;4;3;2;0;,15
small_mixed_1.json,SCC,7,7,6,1;1;1;1;2;1;,14,0.010,,,,,,
small_mixed_1.json,TopologicalSort,6,7,,,22,0.009,5;4;3;2;1;0;,0;2;1;3;4;5;6;,,,,
small_mixed_1.json,ShortestPath,6,7,,,5,0.015,,,5;4;,2,,
small_mixed_1.json,LongestPath,6,7,,,5,0.022,,,,,5;4;3;2;1;0;,14
